RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
5718,43540,AUSTRALIAN,JACOBS CREEK RES SHZ 750ML,750ML,0,14.99,,
5719,310129,KOSHER,SHILOH RES CAB SECRET MEVUSHAL - 750ML,750ML,0,55.99,,
5720,368968,NON-ALCOHOLIC WINE,GIESEN ZERO ROSE - 750ML,750ML,0,15.99,,
5721,13860,LIQ BASED RTD,CUTWATER TROPICAL TIKI RUM MAI TAI 6/4 CAN - 12.0Z (4-Pack),4pk,0,12.99,,
5722,338006,AMERICAN WHITE,DAOU CHARDONNAY - 750ML,750ML,12,21.99,,
5723,52170,STRAIGHT BOURBON WHISKEY,REBEL YELL DIST COLLECTION - BARREL 8119523- 113P- 750ML,750ML,0,37.99,,
5724,54062,IMPORTED SCOTCH,JOHNNIE WALKER BLUE - 50ML (6-Pack),6pk,0,126.99,,
5725,70760,IMPORTED VODKA FLAVORS,SVEDKA VODKA - STRAWBERRY LEMONADE - 750ML,750ML,204,10.99,,
5726,380500,MISCELLANEOUS IMPORTED SPIRITS,RAMPUR DOUBLE CASK - 750ML,750ML,0,97.99,,
5727,77180,IRISH WHISKEY,ROE & CO IRISH WHISKEY - 750ML,750ML,0,28.99,,
5728,171596,STRAIGHT BOURBON WHISKEY,FOUR ROSES SNG BARREL BOURBON PRIV SELECTION 750ML,750ML,0,55.99,,
5729,433983,GERMAN WINE,HEINZ EIFEL RIES KAB - 750ML,750ML,0,16.99,,
5730,77808,DOMESTIC CAN BEER,KONA BIG WAVE 15/19.2 OZ CAN - 19.2Z,19.2Z,0,44.99,,
5731,50164,IMPORTED CORDIALS,CHAMBORD ROYALE LIQUEUR - 200ML,200ML,0,10.99,,
5732,244759,MISCELLANEOUS IMPORTED WINE,KARAS RESERVE ARENI SIRENI 750ML,750ML,0,30.99,,
5733,377489,NEW ZEALAND,KURANUI MARLBOROUGH S/BLC - 750ML,750ML,0,12.99,,
5734,47793,ITALIAN RED WINE,CANTINA GABRIELE DOLCEMENTE - 750ML,750ML,0,16.99,,
5735,332807,IRISH WHISKEY,GLENDALOUGH DOUBLE BARREL IRISH WHISKEY - 750ML,750ML,0,32.99,,
5736,91070,STRAIGHT BOURBON WHISKEY,JIM BEAM WINTER RESERVE 750ML,750ML,0,23.99,,
