RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
209,171709,FRANCE-OTHER,LE GARENNE SANCERRE ROUGE 750ML,750ML,0,37.99,,,46008
210,76288,DOMESTIC VODKA,NEW AMSTERDAM VODKA - 50ML,50ML,6840,1.09,,,46008
211,305523,RED BORDEAUX WINE,CH BON AMI BORD - 750ML,750ML,1116,11.99,,,46008
212,325771,AMERICAN WHITE,AUSPICION CHARD - 750ML,750ML,168,13.99,,,46008
213,27561,IMPORTED SCOTCH,JOHNNIE WALKER BLACK - 375ML,375ML,216,24.99,,,46008
214,55602,STRAIGHT BOURBON WHISKEY,BULLEIT BOURBON - 375ML,375ML,264,14.99,,,46008
215,234706,ASIAN,HAKUTSURU PREM SAKE SEL SAMPLE PACK - 300ML,300ML,84,30.99,,,46008
216,52062,SINGLE MALT SCOTCH,BENRIACH SINGLE MALT - THE TWELVE - 750ML,750ML,0,70.99,,,46008
217,71382,ITALIAN RED WINE,RUFFINO RISERVA DUCALE - 750ML (1 Bottle),750ML,0,24.99,20.99,46022,46008
218,80687,AMERICAN WHITE,BAREFOOT CEL P/GRIG- BIB - 3L,3L,120,21.99,,,46008
219,36153,IMPORTED VODKA FLAVORS,ABSOLUT VODKA - CITRON - 750ML,750ML,300,24.99,,,46008
220,35408,DOMESTIC VODKA FLAVORS,SMIRNOFF VODKA - ORANGE TW - 1L,1L,0,17.99,,,46008
221,237324,ITALIAN RED WINE,CA' VIOLA BAROLO CAVIOT - 750ML,750ML,0,58.99,,,46008
222,171394,BLENDED WHISKEY,SEACRETS LTD RELEASE AMERICAN WHISKEY 750ML,750ML,0,59.99,,,46008
223,58319,AUSTRALIAN,YELLOW TAIL P/GRIG - 750ML,750ML,1716,7.99,,,46008
224,41663,AUSTRALIAN,MOLLY DOOKER THE BOXER SHZ - 750ML,750ML,0,37.99,,,46008
